"ChEMBL ID;""Name"";""Synonyms"";""Type"";""Max Phase"";""Molecular Weight"";""Targets"";""Bioactivities"";""AlogP"";""PSA"";""HBA"";""HBD"";""#RO5 Violations"";""#Rotatable Bonds"";""Passes Ro3"";""QED Weighted"";""CX ApKa"";""CX BpKa"";""CX LogP"";""CX LogD"";""Aromatic Rings"";""Structure Type"";""Inorganic Flag"";""Heavy Atoms"";""HBA Lipinski"";""HBD Lipinski"";""#RO5 Violations (Lipinski)"";""Molecular Weight (Monoisotopic)"";""Molecular Species"";""Molecular Formula"";""Smiles""",,,
"CHEMBL485;""CODEINE"";""CODEINE|CODEINE MONOHYDRATE|Codeine|IDS-NC-005(SECT.-2)"";""Small molecule"";""4"";""299.37"";""55"";""209"";""1.50"";""41.93"";""4"";""1"";""0"";""1"";""N"";""0.80"";""13.78"";""9.19"";""1.34"";""-0.45"";""1"";""MOL"";""0"";""22"";""4"";""1"";""0"";""299.1521"";""BASE"";""C18H21NO3"";""COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314""",,,
"CHEMBL2104790;""MEPHENOXALONE"";""Lenetran|MEPHENOXALONE"";""Small molecule"";""0"";""223.23"";""1"";""2"";""1.18"";""56.79"";""4"";""1"";""0"";""4"";""N"";""0.83"";""12.68"";""None"";""1.19"";""1.19"";""1"";""MOL"";""0"";""16"";""5"";""1"";""0"";""223.0845"";""NEUTRAL"";""C11H13NO4"";""COc1ccccc1OCC1CNC(=O)O1""",,,
"CHEMBL502;""DONEPEZIL"";""Aricept|DONEPEZIL|Donepezil|E-2020"";""Small molecule"";""4"";""379.50"";""84"";""1235"";""4.36"";""38.77"";""4"";""0"";""0"";""6"";""N"";""0.75"";""None"";""8.54"";""4.21"";""3.04"";""2"";""MOL"";""0"";""28"";""4"";""0"";""0"";""379.2147"";""BASE"";""C24H29NO3"";""COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2""",,,
"CHEMBL2106851;""NICOMORPHINE"";""NICOMORPHINE"";""Small molecule"";""0"";""495.54"";"""";"""";""3.37"";""90.85"";""8"";""0"";""0"";""4"";""N"";""0.31"";""None"";""9.10"";""3.22"";""1.52"";""3"";""MOL"";""0"";""37"";""8"";""0"";""0"";""495.1794"";""BASE"";""C29H25N3O5"";""CN1CC[C@]23c4c5ccc(OC(=O)c6cccnc6)c4O[C@H]2[C@@H](OC(=O)c2cccnc2)C=C[C@H]3[C@H]1C5""",,,
"CHEMBL1075733;""VALNOCTAMIDE"";""Axiquel|MCN-X-181|NSC-32363|NSC-34092|VALNOCTAMIDE"";""Small molecule"";""3"";""143.23"";""4"";""8"";""1.54"";""43.09"";""1"";""1"";""0"";""4"";""N"";""0.64"";""None"";""None"";""1.83"";""1.83"";""0"";""MOL"";""0"";""10"";""2"";""2"";""0"";""143.1310"";""NEUTRAL"";""C8H17NO"";""CCC(C)C(CC)C(N)=O""",,,
"CHEMBL1088;""MESORIDAZINE"";""Lidanar|MESORIDAZINE|Mesoridazine|NC-123|Serentil|TPS-23"";""Small molecule"";""4"";""386.59"";""72"";""126"";""4.90"";""23.55"";""4"";""0"";""0"";""4"";""N"";""0.75"";""None"";""8.19"";""3.57"";""2.72"";""2"";""MOL"";""0"";""26"";""3"";""0"";""0"";""386.1487"";""NEUTRAL"";""C21H26N2OS2"";""CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21""",,,
"CHEMBL1442422;""DIBENZEPIN"";""DIBENZEPIN"";""Small molecule"";""4"";""295.39"";""9"";""10"";""2.98"";""26.79"";""3"";""0"";""0"";""3"";""Y"";""0.87"";""None"";""8.23"";""2.64"";""1.75"";""2"";""MOL"";""0"";""22"";""4"";""0"";""0"";""295.1685"";""NEUTRAL"";""C18H21N3O"";""CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21""",,,
"CHEMBL28318;""PROPYPHENAZONE"";""ISOPROPYLANTIPYRINE|PROPYPHENAZONE"";""Small molecule"";""0"";""230.31"";""6"";""72"";""2.61"";""26.93"";""3"";""0"";""0"";""2"";""Y"";""0.78"";""None"";""0.87"";""2.35"";""2.35"";""2"";""MOL"";""0"";""17"";""3"";""0"";""0"";""230.1419"";""NEUTRAL"";""C14H18N2O"";""Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C""",,,
"CHEMBL3989803;""DIPYRONE"";""DIPYRONE|Diprofarn|METAMIZOLE SODIUM|METAMIZOLE SODIUM MONOHYDRATE|METHAMPYRONE|NORAMIDOPYRINE METHANESULFONATE SODIUM|NSC-73205|Novaldin|SULPYRINE|SULPYRINE HYDRATE"";""Small molecule"";""4"";""351.36"";""2"";""3"";""0.77"";""84.54"";""6"";""1"";""0"";""4"";""N"";""0.84"";""-1.42"";""None"";""-0.82"";""-2.25"";""2"";""MOL"";""0"";""21"";""7"";""1"";""0"";""311.0940"";""ACID"";""C13H18N3NaO5S"";""Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+]""",,,
"CHEMBL36591;""ALAPROCLATE"";""ALAPROCLATE|GEA 654"";""Small molecule"";""0"";""255.75"";""17"";""48"";""2.55"";""52.32"";""3"";""1"";""0"";""4"";""N"";""0.84"";""None"";""7.34"";""2.88"";""2.61"";""1"";""MOL"";""0"";""17"";""3"";""2"";""0"";""255.1026"";""NEUTRAL"";""C13H18ClNO2"";""CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1""",,,
